Date;USD(won)
2022-09-16;1388
2022-09-19;1393.6
2022-09-20;1389.5
2022-09-21;1394.2
2022-09-22;1409.7
2022-09-23;1409.3
2022-09-26;1431.3
2022-09-27;1421.5
2022-09-28;1439.9
2022-09-29;1438.9
2022-09-30;1430.2
2022-10-04;1426.5
2022-10-05;1410.1
2022-10-06;1402.4
2022-10-07;1412.4
2022-10-11;1435.2
2022-10-12;1424.9
2022-10-13;1431.3
2022-10-14;1428.5
2022-10-17;1435.3
2022-10-18;1422.7
2022-10-19;1426.2
2022-10-20;1433.3
2022-10-21;1439.8
2022-10-24;1439.7
2022-10-25;1433.1
2022-10-26;1426.6
2022-10-27;1417
2022-10-28;1421.5
2022-10-31;1424.3
2022-11-01;1417.2
2022-11-02;1417.4
2022-11-03;1423.8
2022-11-04;1419.2
2022-11-07;1401.2
2022-11-08;1384.9
2022-11-09;1364.8
2022-11-10;1377.5
2022-11-11;1318.4
2022-11-14;1325.9
2022-11-15;1317.6
2022-11-16;1325
2022-11-17;1339.1
2022-11-18;1340.3
2022-11-21;1354.7
2022-11-22;1356.6
2022-11-23;1351.8
2022-11-24;1328.2
2022-11-25;1323.7
2022-11-28;1340.2
2022-11-29;1326.6
2022-11-30;1318.8
2022-12-01;1299.7
2022-12-02;1299.9
2022-12-05;1292.6
2022-12-06;1318.8
2022-12-07;1321.7
2022-12-08;1318
2022-12-09;1301.3
2022-12-12;1307.2
2022-12-13;1306
2022-12-14;1296.3
2022-12-15;1303.1
2022-12-16;1305.4
2022-12-19;1302.9
2022-12-20;1289.6
2022-12-21;1285.7
2022-12-22;1276.2
2022-12-23;1280.8
2022-12-26;1274.8
2022-12-27;1271.4
2022-12-28;1267
2022-12-29;1264.5
2023-01-02;1272.6
2023-01-03;1271
2023-01-04;1271.7
2023-01-05;1269.4
2023-01-06;1268.6
2023-01-09;1243.5
2023-01-10;1244.7
2023-01-11;1246.2
2023-01-12;1245.8
2023-01-13;1241.3
2023-01-16;1235.3
2023-01-17;1238.7
2023-01-18;1237.4
2023-01-19;1232.1
2023-01-20;1235.5
2023-01-25;1231.7
2023-01-26;1230.7
2023-01-27;1231.3
2023-01-30;1227.4
2023-01-31;1231.9
2023-02-01;1231.3
2023-02-02;1220.3
2023-02-03;1229.4
2023-02-06;1252.8
2023-02-07;1255.3
2023-02-08;1260.1
2023-02-09;1260.4
2023-02-10;1265.2
2023-02-13;1277.3
2023-02-14;1269.4
2023-02-15;1282.2
2023-02-16;1284.8
2023-02-17;1299.5
2023-02-20;1294.5
2023-02-21;1295.9
2023-02-22;1304.9
2023-02-23;1297.1
2023-02-24;1304.8
2023-02-27;1323
2023-02-28;1322.6
2023-03-02;1315.6
2023-03-03;1301.6
2023-03-06;1296.9
2023-03-07;1299.4
2023-03-08;1321.4
2023-03-09;1322.2
2023-03-10;1324.2
2023-03-13;1301.8
2023-03-14;1311.1
2023-03-15;1303.7
2023-03-16;1313
2023-03-17;1302.2
2023-03-20;1310.5
2023-03-21;1311.2
2023-03-22;1307.7
2023-03-23;1278.3
2023-03-24;1294.3
2023-03-27;1301.5
2023-03-28;1298.8
2023-03-29;1302.7
2023-03-30;1299
